ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_AR-101,0.48,52.4,3.2,2.4,4.1,0.16,0.12,0.2,0.01667561,0.011208853,0.02048,0.008226966,0.002340976,0.001509826,0.00352,0.000411348
NLA12_AR-102,1.01,74,0.03,0.024,0.035,0.0034,0.0024,0.0044,0.001589116,0.016661278,0.000192,0.018307984,6.94E-05,0.002106816,7.48E-05,0.002074905
NLA12_AR-103,21.07,4.944,0.37,0.26,0.5,0.037,0.025,0.051,0.010706481,2.60E-05,0.002368,0.008282104,0.001639517,5.73E-06,0.000814,0.00082821
NLA12_AR-104,0.29,6.624,0.91,0.64,1.2,0.082,0.059,0.11,0.023025294,0.004508049,0.005824,0.021783473,0.002617059,0.001166761,0.001804,0.001962906
NLA12_AR-106,2.02,59.2,0.68,0.57,0.81,0.033,0.027,0.039,0.006764906,0.002592203,0.004352,0.005002646,0.000612431,0.000340599,0.000726,0.000242775
NLA12_CA-101,3.17,14,0.19,0.11,0.3,0.0095,0.0049,0.016,0.001510797,0.000507754,0.001235,0.000948083,6.68E-05,0.000121247,0.000152,4.74E-05
NLA12_CA-102,4.03,99,0.68,0.34,1.2,0.015,0.0045,0.032,0.005452399,0.000441215,0.00442,0.002042513,0.000216175,5.56E-05,0.00024,4.51E-05
NLA12_CA-103,4.76,0.2,0.058,0.036,0.084,0.007,0.0041,0.011,0.000618456,3.10E-06,0.0005336,9.79E-05,0.000206307,3.43E-07,0.000196,1.18E-05
NLA12_CA-104,1.17,2.2,0.049,0.031,0.075,0.0047,0.003,0.0068,0.000156851,0.000268097,0.0004508,2.43E-05,3.70E-05,8.68E-05,0.0001316,2.33E-06
NLA12_CA-106,0.63,176,0.33,0.26,0.4,0.035,0.026,0.046,0.000709091,0.020991806,0.002079,0.0192456,7.05E-05,0.002642132,0.000665,0.0020412
NLA12_CA-107,0.69,3.8,0.21,0.16,0.27,0.024,0.017,0.032,0.001121107,0.001303284,0.001932,0.000602321,0.000293238,0.000413652,0.000672,6.88E-05
NLA12_CA-108,0.32,9,0.51,0.17,1.1,0.02,0.0028,0.052,0.9966,0.005220123,0.003315,0.993260608,0.037962275,0.001922222,0.00032,0.038951396
NLA12_CA-111,0.78,3.2,0.092,0.022,0.24,0.0073,0.0026,0.016,0.013425149,0.000363983,0.000598,0.013347688,0.00078,0.000391234,0.0001168,0.00105911
NLA12_CA-112,0.31,3.4,0.17,0.047,0.41,0.016,0.008,0.028,0.018366667,0.001169349,0.001105,0.019499586,0.000887931,0.001201767,0.000256,0.001835255
NLA12_CA-116,0.16,1.4,0.25,0.14,0.41,0.027,0.012,0.046,0.000443284,0.00204007,0.0023,0.000451343,8.43E-05,0.000602911,0.000756,4.87E-05
NLA12_CA-121,3.56,2.8,0.39,0.14,0.75,0.0085,0.0019,0.02,0.004679665,1.44E-05,0.002535,0.002300291,0.000166217,1.69E-05,0.000136,5.01E-05
NLA12_CA-132,0.31,4,0.3,0.19,0.44,0.073,0.049,0.1,0.008423737,0.003341414,0.00276,0.008784,0.003170707,0.001050991,0.002044,0.00213744
NLA12_CA-135,2.37,3.8,0.067,0.048,0.092,0.0067,0.0045,0.0095,0.000429887,0.000239099,0.0006164,9.58E-05,0.000118383,7.59E-05,0.0001876,9.58E-06
NLA12_CA-154,0.29,3.3,1.4,0.93,2,0.31,0.17,0.51,0.047255556,0.00212691,0.00882,0.040744421,0.014045614,0.001202229,0.00589,0.009021979
NLA12_CA-156,0.44,31,0.051,0.039,0.065,0.0082,0.006,0.01,0.00303,0.027417222,0.0003213,0.029726676,0.00064625,0.00433812,0.0001558,0.004779583
NLA12_CA-157,1.2,3.4,0.73,0.28,1.5,0.052,0.023,0.1,0.004394304,0.000643882,0.004745,0.001397165,0.000123101,0.000661733,0.000832,9.95E-05
NLA12_CA-172,0.18,0.8,1,0.39,2,0.039,0.0082,0.094,0.007646809,0.000171589,0.0065,0.002941277,0.000284043,0.00019364,0.000624,0.00011471
